duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 14m 24sec.,864.0,2012-01-04 19:39:00,M St & New Jersey Ave SE,31208.0,2012-01-04 19:53:00,"Lincoln Park / 13th & East Capitol St NE ",31619.0,W01190,Registered,8490
0h 4m 50sec.,290.0,2012-01-04 19:39:00,17th & K St NW [formerly 17th & L St NW],31213.0,2012-01-04 19:44:00,14th & Rhode Island Ave NW,31203.0,W00670,Registered,8491
0h 12m 17sec.,737.0,2012-01-04 19:40:00,Thomas Circle,31241.0,2012-01-04 19:52:00,Florida Ave & R St NW,31503.0,w00583,Registered,8492
0h 5m 39sec.,339.0,2012-01-04 19:40:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613.0,2012-01-04 19:46:00,13th & D St NE,31622.0,W00460,Registered,8493
0h 14m 50sec.,890.0,2012-01-04 19:40:00,5th St & K St NW,31600.0,2012-01-04 19:55:00,17th & Rhode Island Ave NW,31239.0,W01292,Registered,8494
0h 5m 15sec.,315.0,2012-01-04 19:41:00,Columbia Rd & Belmont St NW,31113.0,2012-01-04 19:46:00,16th & Harvard St NW,31103.0,W01302,Registered,8495
0h 6m 49sec.,409.0,2012-01-04 19:41:00,17th & Corcoran St NW,31214.0,2012-01-04 19:47:00,14th & V St NW,31101.0,W01201,Registered,8496
0h 4m 4sec.,244.0,2012-01-04 19:41:00,20th St & Florida Ave NW,31110.0,2012-01-04 19:45:00,17th & Corcoran St NW,31214.0,W01320,Registered,8497
0h 3m 51sec.,231.0,2012-01-04 19:41:00,14th & V St NW,31101.0,2012-01-04 19:45:00,California St & Florida Ave NW,31116.0,W01397,Registered,8498
0h 13m 33sec.,813.0,2012-01-04 19:41:00,Good Hope & Naylor Rd SE,31700.0,2012-01-04 19:55:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613.0,W00542,Registered,8499
0h 6m 27sec.,387.0,2012-01-04 19:41:00,Georgetown Harbor / 30th St NW,31215.0,2012-01-04 19:48:00,17th & K St NW [formerly 17th & L St NW],31213.0,W00864,Registered,8500
0h 6m 54sec.,414.0,2012-01-04 19:42:00,21st & M St NW,31212.0,2012-01-04 19:49:00,20th St & Florida Ave NW,31110.0,W00515,Registered,8501
0h 3m 53sec.,233.0,2012-01-04 19:42:00,17th & Corcoran St NW,31214.0,2012-01-04 19:46:00,15th & P St NW,31201.0,W00094,Registered,8502
0h 11m 11sec.,671.0,2012-01-04 19:42:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-04 19:53:00,3rd & D St SE,31605.0,W00599,Registered,8503
0h 4m 59sec.,299.0,2012-01-04 19:43:00,"Lincoln Park / 13th & East Capitol St NE ",31619.0,2012-01-04 19:48:00,4th & East Capitol St NE,31618.0,W00368,Registered,8504
0h 2m 48sec.,168.0,2012-01-04 19:44:00,13th & D St NE,31622.0,2012-01-04 19:47:00,13th & H St NE,31611.0,W01175,Registered,8505
0h 19m 48sec.,1188.0,2012-01-04 19:44:00,3rd & G St SE,31625.0,2012-01-04 20:04:00,North Capitol St & F St NW,31624.0,W01233,Registered,8506
0h 9m 38sec.,578.0,2012-01-04 19:44:00,3rd & H St NE,31616.0,2012-01-04 19:54:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613.0,W00278,Registered,8507
0h 18m 22sec.,1102.0,2012-01-04 19:45:00,20th & E St NW,31204.0,2012-01-04 20:03:00,14th & Harvard St NW,31105.0,W00335,Registered,8508
0h 8m 21sec.,501.0,2012-01-04 19:45:00,19th & L St NW,31224.0,2012-01-04 19:54:00,Metro Center / 12th & G St NW,31230.0,W00782,Registered,8509
0h 6m 34sec.,394.0,2012-01-04 19:46:00,3rd & D St SE,31605.0,2012-01-04 19:53:00,"Lincoln Park / 13th & East Capitol St NE ",31619.0,W00411,Registered,8510
